Date,Open,High,Low,Close,Avg_Volume,Volume,Dividends,Stock Splits
26-06-2025,217.0,225.8000030517578,217.0,225.8000030517578,43164,13456,0.0,0.0
27-06-2025,230.3000030517578,230.3000030517578,230.3000030517578,230.3000030517578,43164,4427,0.0,0.0
30-06-2025,234.89999389648438,234.89999389648438,234.89999389648438,234.89999389648438,43164,1014,0.0,0.0
01-07-2025,239.5500030517578,239.5500030517578,239.5500030517578,239.5500030517578,43164,1667,0.0,0.0
02-07-2025,244.3000030517578,244.3000030517578,244.3000030517578,244.3000030517578,43164,2099,0.0,0.0
03-07-2025,249.14999389648438,249.14999389648438,249.14999389648438,249.14999389648438,43164,1671,0.0,0.0
04-07-2025,254.10000610351562,254.10000610351562,254.10000610351562,254.10000610351562,43164,4576,0.0,0.0
07-07-2025,266.79998779296875,266.79998779296875,266.79998779296875,266.79998779296875,43164,1514,0.0,0.0
08-07-2025,280.1000061035156,280.1000061035156,280.1000061035156,280.1000061035156,43164,6628,0.0,0.0
09-07-2025,284.0,293.8500061035156,266.1000061035156,266.1000061035156,43164,22104,0.0,0.0
10-07-2025,252.8000030517578,266.0,252.8000030517578,256.75,43164,29740,0.0,0.0
11-07-2025,251.0,259.8999938964844,243.9499969482422,243.9499969482422,43164,11062,0.0,0.0
14-07-2025,233.14999389648438,249.25,231.8000030517578,231.8000030517578,43164,19272,0.0,0.0
15-07-2025,220.25,243.35000610351562,220.25,243.35000610351562,43164,15145,0.0,0.0
16-07-2025,248.10000610351562,251.8000030517578,236.1999969482422,245.25,43164,10979,0.0,0.0
17-07-2025,245.25,256.8999938964844,242.0,254.25,43164,11935,0.0,0.0
18-07-2025,255.0,262.0,250.0,256.0,43164,13870,0.0,0.0
21-07-2025,263.20001220703125,263.20001220703125,250.0,257.25,43164,5672,0.0,0.0
22-07-2025,261.79998779296875,261.79998779296875,249.0,250.25,43164,6581,0.0,0.0
23-07-2025,249.0,260.0,237.75,256.29998779296875,43164,36286,0.0,0.0
24-07-2025,261.1499938964844,261.1499938964844,246.5,248.8000030517578,43164,3932,0.0,0.0
25-07-2025,248.0,260.29998779296875,245.14999389648438,255.14999389648438,43164,12419,0.0,0.0
28-07-2025,259.95001220703125,265.0,247.3000030517578,257.1000061035156,43164,8260,0.0,0.0
29-07-2025,260.0,267.0,255.0500030517578,266.1000061035156,43164,7015,0.0,0.0
30-07-2025,263.29998779296875,274.8999938964844,262.0,272.20001220703125,43164,10421,0.0,0.0
31-07-2025,274.0,277.0,259.0,260.8500061035156,43164,8400,0.0,0.0
01-08-2025,264.8999938964844,264.8999938964844,255.0,258.1499938964844,43164,5064,0.0,0.0
04-08-2025,260.70001220703125,268.0,253.14999389648438,260.95001220703125,43164,9828,0.0,0.0
05-08-2025,264.0,264.0,255.0500030517578,255.1999969482422,43164,2560,0.0,0.0
06-08-2025,259.5,259.8999938964844,243.75,244.85000610351562,43164,6382,0.0,0.0
07-08-2025,246.0,246.0,220.39999389648438,232.6999969482422,43164,11384,0.0,0.0
08-08-2025,232.0,255.9499969482422,222.0,255.9499969482422,43164,13260,0.0,0.0
11-08-2025,275.0,281.5,260.0,279.45001220703125,43164,16604,0.0,0.0
12-08-2025,279.04998779296875,294.8500061035156,272.04998779296875,278.20001220703125,43164,9557,0.0,0.0
13-08-2025,280.0,280.0,261.0,270.04998779296875,43164,5138,0.0,0.0
14-08-2025,270.04998779296875,296.0,261.0,281.5,43164,44554,0.0,0.0
18-08-2025,293.8999938964844,293.8999938964844,272.0,281.20001220703125,43164,18008,0.0,0.0
19-08-2025,279.0,287.95001220703125,270.0,270.8500061035156,43164,11129,0.0,0.0
20-08-2025,273.0,273.0,255.0,262.1499938964844,43164,10555,0.0,0.0
21-08-2025,264.0,277.95001220703125,250.0,258.8500061035156,43164,7465,0.0,0.0
22-08-2025,262.0,270.0,255.25,265.20001220703125,43164,6415,0.0,0.0
25-08-2025,265.20001220703125,269.8999938964844,261.95001220703125,265.04998779296875,43164,6277,0.0,0.0
26-08-2025,260.0,268.5,254.0,258.1499938964844,43164,5298,0.0,0.0
28-08-2025,263.8999938964844,263.8999938964844,251.0,252.5500030517578,43164,3806,0.0,0.0
29-08-2025,254.0,259.1000061035156,250.3000030517578,254.39999389648438,43164,2037,0.0,0.0
01-09-2025,261.95001220703125,265.5,254.39999389648438,256.70001220703125,43164,6529,0.0,0.0
02-09-2025,251.60000610351562,260.3999938964844,251.60000610351562,259.6000061035156,43164,11840,0.0,0.0
03-09-2025,255.0,265.0,255.0,264.04998779296875,43164,7074,0.0,0.0
04-09-2025,264.04998779296875,272.0,244.3000030517578,261.3999938964844,43164,19096,0.0,0.0
05-09-2025,272.0,283.5,257.54998779296875,262.8999938964844,43164,5484,0.0,0.0
08-09-2025,258.0,272.0,256.75,258.1000061035156,43164,7610,0.0,0.0
09-09-2025,271.95001220703125,271.95001220703125,254.0,261.70001220703125,43164,4117,0.0,0.0
10-09-2025,263.0,268.0,256.29998779296875,263.6000061035156,43164,4369,0.0,0.0
11-09-2025,260.0,267.0,257.0,260.75,43164,5480,0.0,0.0
12-09-2025,259.0,264.8999938964844,256.0,257.5,43164,6169,0.0,0.0
15-09-2025,256.3999938964844,261.0,250.0,253.75,43164,5923,0.0,0.0
16-09-2025,258.0,260.0,253.0,258.45001220703125,43164,6556,0.0,0.0
17-09-2025,262.95001220703125,262.95001220703125,251.0,256.25,43164,16287,0.0,0.0
18-09-2025,258.54998779296875,278.0,253.0,275.25,43164,17127,0.0,0.0
19-09-2025,279.0,284.0,269.1000061035156,281.54998779296875,43164,52606,0.0,0.0
22-09-2025,276.1000061035156,290.0,269.1000061035156,274.5,43164,11488,0.0,0.0
23-09-2025,270.0,284.70001220703125,260.20001220703125,261.5,43164,40875,0.0,0.0
