Label,Ticker,Sector,Universe,CSV_Path,Resolved
SHAILY,SHAILY.NS,Consumer Durables,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Consumer_Durables\shaily.csv,Y
SHAKTIPUMP,SHAKTIPUMP.NS,Capital Goods,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Capital_Goods\shaktipump.csv,Y
SHARDACROP,SHARDACROP.NS,Chemicals,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Chemicals\shardacrop.csv,Y
SHAREINDIA,SHAREINDIA.NS,Financial Services,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Financial_Services\shareindia.csv,Y
SFL,SFL.NS,Consumer Durables,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Consumer_Durables\sfl.csv,Y
SHILPAMED,SHILPAMED.NS,Healthcare,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Healthcare\shilpamed.csv,Y
RENUKA,RENUKA.NS,Fast Moving Consumer Goods,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Fast_Moving_Consumer_Goods\renuka.csv,Y
SKIPPER,SKIPPER.NS,Capital Goods,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Capital_Goods\skipper.csv,Y
SMARTWORKS,SMARTWORKS.NS,Services,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Services\smartworks.csv,Y
SOUTHBANK,SOUTHBANK.NS,Financial Services,NIFTY_MICROCAP_250,C:\Users\Divyansh\OneDrive\Desktop\IISER\Trading_git\Smallcap\Financial_Services\southbank.csv,Y
